lang,source,translation
kjh,"«хайда паризың, пӱріӌегім? паза чылда килем, сірбегім» - тіптір.","«куда идешь, мой листочек? в следующем году вернусь, веточка», сказал."
evn,бэелба одявкӣ ситадук.,делает людей из глины.
kjh,"хысты сӧстіг бе чох па піліп алып, анаң нандыра килібісчең полтырлар.","(узнав) согласна девушка или нет, те (кто ходил в погоню) потом возвращались домой."
bak,"ä küp esmähäŋ, ul tege для веселья.","а если много не пить, то это для веселья."
mhr,кидшерым кучыш да,пощупала пульс и сказала:
kjh,[tna1930f] абакане. всего три там живет.,
xas,dĭm barəʔluʔpi. ,его бросили.
bak,"ä kem ešlämäj... xäðer =ðä šulaj =ða, xäðer =ðä šulaj.","а кто не работает... и сейчас же так, и сейчас вот так."
kjh,"«йу, хайди ікі туранаң ахча чығдың нізе» тіптір.","«ой, как с двух комнат денег ты собрала», сказала."
xas,(ajnu) nüjleʔbəm. ,пою (…).
kjh,анаң иртен саков… саков…,потом утром саков… саков…
xas,"amnaʔ, amoraʔ, a măn tarirlam"". ","садись, поешь, а я буду пахать""."
xas,"dĭ šobi (surarla-) surarlaʔbə:"" ĭmbi tănan kereʔ?"" ","тот пришел, спрашивает: ""что тебе надо?"""
mhr,"галяже ыле,","галя была,"
evn,"тадӯвэр лукӣлви дяяналви савуриhинивкӣ туксамнӣнка̄кундук, нуӈарнунтын ганатма̄силча.","потом стрелы, которые спрятал, схватил на бегу и начал с ними перестреливаться."
evn,гиркулча тарэ дундэ hэргӣдо̄лӣн.,стал ходить под землей.
kjh,мин ағаа суғ пиргем.,я ему воды дала.
mhr,"например, телевизор, радио, музыкым колыштыт, магнитофоным, дискотекыш коштыт.","например, телевизор, радио, музыку слушают, магнитофон, на дискотеки ходят."
xas,kambi dĭʔnə. ,пошла к нему.
xas,"dĭgəttə dĭ büzʼe mămbi:"" iʔ šamaʔ!"" ","тогда этот человек говорит: ""не ври!"""
kjh,"унны, припеказын санап пілӌең полған, анаң анызын санап алза, пір халас тігі каралка ит салӌаң полған.","муку, припеку от нее считать умела, потом, когда ее посчитает, один хлеб, калач, делала."
xas,miʔ ej (kurollubibaʔ). ,мы не ссорились.
xas,"ugandə beržə, sĭre bar kundlaʔbə. ","сильный ветер, дождь идет(?)."
mhr,а... а у меня сейчас д= егорьевским дочь-то живёт дак.,а... а у меня сейчас в егорьевске дочь-то живёт.
bak,"<xäðer> uramda jöröjðär, esälär, elek eske bulmanə.","теперь на улице ходят, пьют, раньше пьянства не было."
xas,dĭzeŋ moːʔi (со-) oʔbdəbiʔi i (aspaʔdə il-) aspaʔdə embiʔi. ,они собрали гнезда [=ветки] и положили их в котел [=в очаг].
kjh,ӧкерек хызыӌағас одыр.,"оказывается, красивая девушка."
xas,"šobiam, šobiam (aktʼi=) aktʼigən. ","шла, шла по дороге."
xas,dĭ kambi. ,он пошёл.
xas,dĭgəttə šobi. ,потом он пришёл.
xas,nada măna jama šöʔsittə. ,сапоги сшить надо.
kjh,"[evs1979f] килген, но.","[evs1979f] приехала, да."
xas,dĭgəttə tabun ine (ibiʔi). ,[у них] был табун лошадей.
mhr,"трудодня ыле эре,","всегда были трудодни,"
mhr,"мо ныҥгаенут,","что увезли,"
bak,ревизия mäɣlümättäre bujənsa äbjälil meŋ jete jöð =ðä ille altənsə jəlda terkälgän.,"по данным ревизии, абзелил основан в 1756 году."
kjh,[rva1973f] поонӌах пасталыбысханнар.,"[lat1978f] ну, там на старушку же похожа была эта гора."
kjh,[asc1933f] колхоз тузында.,[asc1933f] во время колхоза.
xas,volk da lʼisa. ,волк да лиса.
evn,дяпкун класпэ манапка бисён.,надо было закончить восемь классов.
kjh,"а пултах пахпыр полар, киӌее араға iзiбiскебыс.","а у пултаха, должно быть, похмелье, вчера выпили водки."
bak,"мясо похоже медвежье, вот, nejgä, тел... govyadinaɣa oqšaɣan, между прочим, очень вкусное.","мясо медвежье похоже вот на это, тел... на говядину похоже, между прочим, очень вкусное."
kjh,"[zgb1935f] ах таа тасхылда аххан даа сууӌаам, ах таа чазыларды тобырып алча-й.","[zgb1935f] и на белом тасхыле текла также река моя, и белые степи преодолевает."
bak,"потом šunan xäðer min äjttem inde, tege malajəna šəltərata.","потом... потом я рассказала же, она позвонила своему сыну."
xas,dĭttəgəš dĭ nʼi gibərdə ari dʼürzittə molat. ,потом один парень []решил] куда-то уйти.
xas,(aktʼ - aktʼ-) aktʼit bar (tădam) ibi. ,дорога была узкая.
kjh,"андар пістің школаның ӱгренӌілері чӧріп пастааннар, пастағлығ класстаң сығара тоғыс классха читiре.","туда начали ходить ученики нашей школы, с первого класса до девятого."
xas,[i-] il iʔgö ibiʔi. ,много людей было.
kjh,тарбағанда хыра тартыбысханнар.,в тарбаганах (на месте тарбаганов) поле вспахали.
