id,lang,source,translation
277,bak,ul jaqta уже... šul bəl jaqtaɣə uðaqtarðə tege jaqta qaršə... uðaqtar bə...,на той стороне уже... вот напарников с этой стороны на той стороне встреча... гости эт....
278,kjh,хы… сосха хы… сосха тіп «чух-чух-чух» тіп хығырыбыстыр нізе.,свиней «чух-чух-чух» позвал ведь.
279,xas,"i (kun-) davaj kunzittə krospaʔinə, dĭn dʼünə tĭldzittə. ","и понесли его на кладбище, чтобы там похоронить."
280,xas,măn dĭʔnə kabažarbiam. ,я ему/ей помог.
281,kjh,"<надо>, а, іди сӱт пирче.","надо, а, так молоко дает."
282,mhr,тудын деч вара конечно жапшат ик ий уже эрт= почти что ик ий каен дык.,"после этого, конечно прошло уже около года."
283,evn,ая хава тарэ».,хорошая работа это».
284,xas,"""süjö, amnoʔ, amaʔ"". ","«птица, садись, ешь»."
285,mhr,[12] каласен кертам.,[12] могу рассказать.
286,xas,"nʼe axota kanzittə, ugandə šeriem. ","не хочу идти, очень стесняюсь."
287,xas,a măn kuvas igem. ,а я красивая.
288,kjh,"«хайда паризың, пӱріӌегім? паза чылда килем, сірбегім» - тіптір.","«куда идешь, мой листочек? в следующем году вернусь, веточка», сказал."
289,evn,бэелба одявкӣ ситадук.,делает людей из глины.
290,kjh,"хысты сӧстіг бе чох па піліп алып, анаң нандыра килібісчең полтырлар.","(узнав) согласна девушка или нет, те (кто ходил в погоню) потом возвращались домой."
291,bak,"ä küp esmähäŋ, ul tege для веселья.","а если много не пить, то это для веселья."
292,mhr,кидшерым кучыш да,пощупала пульс и сказала:
293,kjh,[tna1930f] абакане. всего три там живет.,
294,xas,dĭm barəʔluʔpi. ,его бросили.
295,bak,"ä kem ešlämäj... xäðer =ðä šulaj =ða, xäðer =ðä šulaj.","а кто не работает... и сейчас же так, и сейчас вот так."
296,kjh,"«йу, хайди ікі туранаң ахча чығдың нізе» тіптір.","«ой, как с двух комнат денег ты собрала», сказала."
297,xas,(ajnu) nüjleʔbəm. ,пою (…).
298,kjh,анаң иртен саков… саков…,потом утром саков… саков…
299,xas,"amnaʔ, amoraʔ, a măn tarirlam"". ","садись, поешь, а я буду пахать""."
300,xas,"dĭ šobi (surarla-) surarlaʔbə:"" ĭmbi tănan kereʔ?"" ","тот пришел, спрашивает: ""что тебе надо?"""
301,mhr,"галяже ыле,","галя была,"
302,evn,"тадӯвэр лукӣлви дяяналви савуриhинивкӣ туксамнӣнка̄кундук, нуӈарнунтын ганатма̄силча.","потом стрелы, которые спрятал, схватил на бегу и начал с ними перестреливаться."
303,evn,гиркулча тарэ дундэ hэргӣдо̄лӣн.,стал ходить под землей.
304,kjh,мин ағаа суғ пиргем.,я ему воды дала.
305,mhr,"например, телевизор, радио, музыкым колыштыт, магнитофоным, дискотекыш коштыт.","например, телевизор, радио, музыку слушают, магнитофон, на дискотеки ходят."
306,xas,kambi dĭʔnə. ,пошла к нему.
307,xas,"dĭgəttə dĭ büzʼe mămbi:"" iʔ šamaʔ!"" ","тогда этот человек говорит: ""не ври!"""
308,kjh,"унны, припеказын санап пілӌең полған, анаң анызын санап алза, пір халас тігі каралка ит салӌаң полған.","муку, припеку от нее считать умела, потом, когда ее посчитает, один хлеб, калач, делала."
309,xas,miʔ ej (kurollubibaʔ). ,мы не ссорились.
310,xas,"ugandə beržə, sĭre bar kundlaʔbə. ","сильный ветер, дождь идет(?)."
311,mhr,а... а у меня сейчас д= егорьевским дочь-то живёт дак.,а... а у меня сейчас в егорьевске дочь-то живёт.
312,bak,"<xäðer> uramda jöröjðär, esälär, elek eske bulmanə.","теперь на улице ходят, пьют, раньше пьянства не было."
313,xas,dĭzeŋ moːʔi (со-) oʔbdəbiʔi i (aspaʔdə il-) aspaʔdə embiʔi. ,они собрали гнезда [=ветки] и положили их в котел [=в очаг].
314,kjh,ӧкерек хызыӌағас одыр.,"оказывается, красивая девушка."
315,xas,"šobiam, šobiam (aktʼi=) aktʼigən. ","шла, шла по дороге."
316,xas,dĭ kambi. ,он пошёл.
317,xas,dĭgəttə šobi. ,потом он пришёл.
318,xas,nada măna jama šöʔsittə. ,сапоги сшить надо.
319,kjh,"[evs1979f] килген, но.","[evs1979f] приехала, да."
320,xas,dĭgəttə tabun ine (ibiʔi). ,[у них] был табун лошадей.
321,mhr,"трудодня ыле эре,","всегда были трудодни,"
322,mhr,"мо ныҥгаенут,","что увезли,"
323,bak,ревизия mäɣlümättäre bujənsa äbjälil meŋ jete jöð =ðä ille altənsə jəlda terkälgän.,"по данным ревизии, абзелил основан в 1756 году."
324,kjh,[rva1973f] поонӌах пасталыбысханнар.,"[lat1978f] ну, там на старушку же похожа была эта гора."
325,kjh,[asc1933f] колхоз тузында.,[asc1933f] во время колхоза.
326,xas,volk da lʼisa. ,волк да лиса.
327,evn,дяпкун класпэ манапка бисён.,надо было закончить восемь классов.
328,kjh,"а пултах пахпыр полар, киӌее араға iзiбiскебыс.","а у пултаха, должно быть, похмелье, вчера выпили водки."
329,bak,"мясо похоже медвежье, вот, nejgä, тел... govyadinaɣa oqšaɣan, между прочим, очень вкусное.","мясо медвежье похоже вот на это, тел... на говядину похоже, между прочим, очень вкусное."
